City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
186,Conceicao Das Alagoas,BR,2020-04-15 22:32:58,-19.91,-48.39,69.8,77,100,6.93,light rain,0.0,0
187,Aktash,RU,2020-04-15 22:32:58,50.3,87.73,24.35,48,55,3.76,light snow,0.0,0
188,Myitkyina,MM,2020-04-15 22:32:58,25.38,97.4,68.04,72,45,2.01,light rain,0.0,0
189,Aykhal,RU,2020-04-15 22:32:58,66.0,111.5,5.0,71,23,6.71,few clouds,0.0,0
190,Nemuro,JP,2020-04-15 22:29:06,43.32,145.57,31.66,92,80,15.95,broken clouds,0.0,0
191,Arman,RU,2020-04-15 22:32:05,59.7,150.17,22.64,94,85,6.04,overcast clouds,0.0,0
192,Avera,US,2020-04-15 22:32:59,33.19,-82.53,71.6,37,1,6.93,clear sky,0.0,0
193,Richards Bay,ZA,2020-04-15 22:32:59,-28.78,32.04,70.03,78,97,3.18,light rain,0.0,0
194,Srednekolymsk,RU,2020-04-15 22:33:00,67.45,153.68,4.62,93,58,12.86,broken clouds,0.0,0
195,Plouzane,FR,2020-04-15 22:33:00,48.38,-4.62,57.2,58,57,8.05,broken clouds,0.0,0
196,Siraha,NP,2020-04-15 22:29:07,26.65,86.21,79.12,46,61,6.8,broken clouds,0.0,0
197,Roseburg,US,2020-04-15 22:33:00,43.22,-123.34,66.99,48,1,8.05,clear sky,0.0,0
198,Matamoros,MX,2020-04-15 22:31:37,25.53,-103.25,86.0,19,75,10.29,broken clouds,0.0,0
199,Tara,RU,2020-04-15 22:33:01,56.89,74.37,31.59,96,2,5.66,clear sky,0.0,0
200,Sorland,NO,2020-04-15 22:33:01,67.67,12.69,36.1,77,70,13.24,light snow,0.0,0
201,Tautira,PF,2020-04-15 22:33:01,-17.73,-149.15,89.6,66,21,10.29,few clouds,0.0,0
202,Tuatapere,NZ,2020-04-15 22:33:01,-46.13,167.68,51.01,74,54,15.99,broken clouds,0.0,0
203,San Rafael Del Sur,NI,2020-04-15 22:33:01,11.85,-86.44,96.8,32,20,13.87,smoke,0.0,0
204,Oktyabrskoye,RU,2020-04-15 22:33:02,43.06,44.74,51.8,66,96,8.95,light rain,0.0,0
205,Tabuk,PH,2020-04-15 22:33:02,17.42,121.44,77.22,77,85,5.61,light rain,0.0,0
206,Asyut,EG,2020-04-15 22:33:02,27.18,31.18,69.8,40,0,11.41,clear sky,0.0,0
207,Mbandaka,CD,2020-04-15 22:33:02,0.05,18.26,76.8,69,69,0.65,broken clouds,0.0,0
208,Vostok,RU,2020-04-15 22:33:02,46.49,135.88,43.18,42,0,4.0,clear sky,0.0,0
209,Fort Nelson,CA,2020-04-15 22:29:10,58.81,-122.7,51.8,40,20,4.7,few clouds,0.0,0
210,Kruisfontein,ZA,2020-04-15 22:33:03,-34.0,24.73,57.83,80,96,6.04,overcast clouds,0.0,0
211,Mount Gambier,AU,2020-04-15 22:33:03,-37.83,140.77,57.2,93,90,4.7,overcast clouds,0.0,0
212,Jumla,NP,2020-04-15 22:33:03,29.27,82.18,46.58,28,21,1.99,few clouds,0.0,0
213,Bonga,ET,2020-04-15 22:33:04,7.28,36.23,61.34,59,93,1.74,light rain,0.0,0
214,Ojinaga,MX,2020-04-15 22:29:11,29.57,-104.42,77.0,20,1,0.65,clear sky,0.0,0
215,San Cristobal,VE,2020-04-15 22:33:04,7.77,-72.22,87.8,52,20,6.93,haze,0.0,0
216,Pemangkat,ID,2020-04-15 22:33:05,1.17,108.97,79.05,84,100,5.01,light rain,0.0,0
217,Kushmurun,KZ,2020-04-15 22:33:05,52.45,64.63,44.46,67,89,12.64,overcast clouds,0.0,0
218,Alofi,NU,2020-04-15 22:33:05,-19.06,-169.92,84.2,66,75,9.17,broken clouds,0.0,0
219,Bowen,AU,2020-04-15 22:33:05,-20.02,148.23,79.0,78,12,11.41,few clouds,0.0,0
220,Fairbanks,US,2020-04-15 22:30:59,64.84,-147.72,51.8,40,20,4.7,few clouds,0.0,0
221,Pandan,PH,2020-04-15 22:33:06,14.05,124.17,80.98,79,32,6.55,light rain,0.0,0
222,Trairi,BR,2020-04-15 22:29:13,-3.28,-39.27,80.13,79,88,4.7,light rain,0.0,0
223,Cradock,ZA,2020-04-15 22:33:06,-32.16,25.62,52.74,57,57,0.47,broken clouds,0.0,0
224,Haines Junction,CA,2020-04-15 22:33:06,60.75,-137.51,44.01,66,99,6.85,overcast clouds,0.0,0
225,Palmer,US,2020-04-15 22:29:13,42.16,-72.33,50.0,24,40,12.75,scattered clouds,0.0,0
226,Ketchikan,US,2020-04-15 22:33:07,55.34,-131.65,51.8,76,1,20.8,clear sky,0.0,0
227,Komsomolskiy,UZ,2020-04-15 22:33:07,40.43,71.72,48.2,87,43,2.24,scattered clouds,0.0,0
228,Strezhevoy,RU,2020-04-15 22:33:07,60.73,77.59,37.4,93,90,6.71,overcast clouds,0.0,0
229,Guarapari,BR,2020-04-15 22:33:07,-20.67,-40.5,80.6,83,96,9.17,overcast clouds,0.0,0
230,Aripuana,BR,2020-04-15 22:33:08,-9.17,-60.63,74.05,93,83,0.85,light rain,0.0,0
231,Prince Rupert,CA,2020-04-15 22:33:08,54.32,-130.32,50.0,81,1,8.05,clear sky,0.0,0
232,Langham,CA,2020-04-15 22:29:15,52.37,-106.97,30.2,42,75,8.05,broken clouds,0.0,0
233,Repalle,IN,2020-04-15 22:29:15,16.02,80.85,78.62,80,9,5.93,clear sky,0.0,0
234,Ahipara,NZ,2020-04-15 22:33:08,-35.17,173.17,64.63,77,29,18.9,light rain,0.0,0
235,Valence,ES,2020-04-15 22:30:50,39.47,-0.38,60.01,93,40,1.12,scattered clouds,0.0,0
236,Carnduff,CA,2020-04-15 22:33:09,49.17,-101.8,37.0,33,83,10.0,broken clouds,0.0,0
237,Igarka,RU,2020-04-15 22:29:16,67.47,86.58,15.3,94,3,9.33,clear sky,0.0,0
